id,week,num_weeks,censor,coupon,anyp
458,3,24,0,0.0180370411,55.65
458,4,24,0,0.1262592877,81.17
458,5,24,0,0.078697419,74.45
458,6,24,0,0.044160582,73.82
458,7,24,0,0.0214475487,46.83
458,8,24,0,0.0084743074,0
458,9,24,0,0.0024570064,72.41
458,10,24,0,0.015465007,71.52
458,11,24,0,0.1052483182,89.32
458,12,24,0,0.0655816056,56.05
458,13,24,0,0.0368004851,12.58
458,14,24,0,0.0178729572,13.33
458,15,24,0,0.0070619229,43.31
458,16,24,0,0.0020475053,41.46
458,17,24,0,0.0003617828,41.95
458,18,24,0,0.0000268709,44.47
458,19,24,0,0.00000035264646,22.9
458,20,24,0,6.07371E-11,8.82
458,21,24,0,3.103112E-22,0
458,22,24,0,0,0
458,23,24,0,0,32.2
458,24,24,1,0,33.4
459,1,24,0,0,55.61
459,2,24,0,0,55.82
459,3,24,0,0.0180370411,55.65
459,4,24,0,0.1262592877,81.17
459,5,24,0,0.078697419,74.45
459,6,24,0,0.044160582,73.82
459,7,24,0,0.0214475487,46.83
459,8,24,0,0.0084743074,0
459,9,24,0,0.0024570064,72.41
459,10,24,0,0.015465007,71.52
459,11,24,0,0.1052483182,89.32
459,12,24,0,0.0655816056,56.05
459,13,24,0,0.0368004851,12.58
459,14,24,0,0.0178729572,13.33
459,15,24,0,0.0070619229,43.31
459,16,24,0,0.0020475053,41.46
459,17,24,0,0.0003617828,41.95
459,18,24,0,0.0000268709,44.47
459,19,24,0,0.00000035264646,22.9
459,20,24,0,6.07371E-11,8.82
459,21,24,0,3.103112E-22,0
459,22,24,0,0,0
459,23,24,0,0,32.2
459,24,24,1,0,33.4
460,1,24,0,0,55.61
460,2,24,0,0,55.82
460,3,24,0,0.0180370411,55.65
460,4,24,0,0.1262592877,81.17
460,5,24,0,0.078697419,74.45
460,6,24,0,0.044160582,73.82
460,7,24,0,0.0214475487,46.83
460,8,24,0,0.0084743074,0
460,9,24,0,0.0024570064,72.41
460,10,24,0,0.015465007,71.52
460,11,24,0,0.1052483182,89.32
460,12,24,0,0.0655816056,56.05
460,13,24,0,0.0368004851,12.58
460,14,24,0,0.0178729572,13.33
460,15,24,0,0.0070619229,43.31
460,16,24,0,0.0020475053,41.46
460,17,24,0,0.0003617828,41.95
460,18,24,0,0.0000268709,44.47
460,19,24,0,0.00000035264646,22.9
460,20,24,0,6.07371E-11,8.82
460,21,24,0,3.103112E-22,0
460,22,24,0,0,0
460,23,24,0,0,32.2
460,24,24,1,0,33.4
461,1,24,0,0,55.61
461,2,24,0,0,55.82
461,3,24,0,0.0180370411,55.65
461,4,24,0,0.1262592877,81.17
461,5,24,0,0.078697419,74.45
461,6,24,0,0.044160582,73.82
461,7,24,0,0.0214475487,46.83
461,8,24,0,0.0084743074,0
461,9,24,0,0.0024570064,72.41
461,10,24,0,0.015465007,71.52
461,11,24,0,0.1052483182,89.32
461,12,24,0,0.0655816056,56.05
461,13,24,0,0.0368004851,12.58
461,14,24,0,0.0178729572,13.33
461,15,24,0,0.0070619229,43.31
461,16,24,0,0.0020475053,41.46
461,17,24,0,0.0003617828,41.95
461,18,24,0,0.0000268709,44.47
461,19,24,0,0.00000035264646,22.9
461,20,24,0,6.07371E-11,8.82
461,21,24,0,3.103112E-22,0
461,22,24,0,0,0
461,23,24,0,0,32.2
461,24,24,1,0,33.4
462,1,24,0,0,55.61
462,2,24,0,0,55.82
462,3,24,0,0.0180370411,55.65
462,4,24,0,0.1262592877,81.17
462,5,24,0,0.078697419,74.45
462,6,24,0,0.044160582,73.82
462,7,24,0,0.0214475487,46.83
462,8,24,0,0.0084743074,0
462,9,24,0,0.0024570064,72.41
462,10,24,0,0.015465007,71.52
462,11,24,0,0.1052483182,89.32
462,12,24,0,0.0655816056,56.05
462,13,24,0,0.0368004851,12.58
462,14,24,0,0.0178729572,13.33
462,15,24,0,0.0070619229,43.31
462,16,24,0,0.0020475053,41.46
462,17,24,0,0.0003617828,41.95
462,18,24,0,0.0000268709,44.47
462,19,24,0,0.00000035264646,22.9
462,20,24,0,6.07371E-11,8.82
462,21,24,0,3.103112E-22,0
462,22,24,0,0,0
462,23,24,0,0,32.2
462,24,24,1,0,33.4
463,1,24,0,0,55.61
463,2,24,0,0,55.82
463,3,24,0,0.0180370411,55.65
463,4,24,0,0.1262592877,81.17
463,5,24,0,0.078697419,74.45
463,6,24,0,0.044160582,73.82
463,7,24,0,0.0214475487,46.83
463,8,24,0,0.0084743074,0
463,9,24,0,0.0024570064,72.41
463,10,24,0,0.015465007,71.52
463,11,24,0,0.1052483182,89.32
463,12,24,0,0.0655816056,56.05
463,13,24,0,0.0368004851,12.58
463,14,24,0,0.0178729572,13.33
463,15,24,0,0.0070619229,43.31
463,16,24,0,0.0020475053,41.46
463,17,24,0,0.0003617828,41.95
463,18,24,0,0.0000268709,44.47
